Play Area: 2.1m x 3.4m, 1.447934
24 courses available, 1.4537
Play Area: 2.1m x 3.4m, 1.896606
24 courses available, 1.903144
Tare feet, 185.5009
Loaded course_6_swing, 196.1385
Subject navigating course: True, 250.835
Off course, 273.3041
Back on course, 273.981
Off course, 275.8135
Back on course, 275.8582
Off course, 275.8686
Back on course, 277.4684
Off course, 280.156
Back on course, 282.1219
collide*(2.0256, 0.0635, 0.2440)*CollisionTracker_LF*(0.0205, -0.0538, -0.0112) *(1.7585, -0.0393, -0.3540)*(2.0964, 0.0174, 0.1638)*Foot*(1.9309, 0.0765, 0.2954), 660.3184
collide*(2.5855, 0.0411, -0.0692)*CollisionTracker_LF*(-0.0057, -0.0243, -0.0021) *(-0.2187, 0.5172, -0.5911)*(2.6781, 0.0011, -0.0151)*Foot*(2.5109, 0.0550, -0.1474), 661.9348
collide*(2.5822, 0.0358, -0.0614)*CollisionTracker_RF*(1.7414, -0.2848, -0.1333) *(3.5093, -1.9654, 0.3517)*(2.5118, 0.0533, -0.1465)*Foot*(2.6781, 0.0011, -0.0151), 661.9406
Off course, 662.4795
Back on course, 662.6342
collide*(2.9592, -0.0113, 0.0353)*CollisionTracker_LF*(1.1637, -0.0185, 0.7261) *(-1.2570, 1.1657, 3.6705)*(2.9736, 0.0078, 0.1554)*Foot*(3.0141, -0.0136, -0.0266), 662.8676
collide*(2.9852, -0.0028, 0.0827)*CollisionTracker_RF*(-0.0058, -0.0136, 0.0200) *(-0.4283, 0.2005, 0.2934)*(3.0142, -0.0147, -0.0247)*Foot*(2.9736, 0.0078, 0.1554), 662.8724
collide*(3.1765, 0.0431, 0.2903)*CollisionTracker_LF*(-0.0010, 0.0130, 0.0314) *(0.4946, 0.8891, 1.6105)*(3.1331, 0.0280, 0.3927)*Foot*(3.2055, 0.0480, 0.1874), 663.756
collide*(3.1519, 0.0580, 0.2880)*CollisionTracker_RF*(0.6230, -0.2442, 1.2858) *(-2.0356, -2.9918, 5.9987)*(3.2049, 0.0464, 0.1886)*Foot*(3.1331, 0.0280, 0.3927), 663.7612
Off course, 664.1337
Back on course, 664.2336
Off course, 664.2475
Back on course, 664.2779
collide*(3.3032, 0.0316, 1.1933)*CollisionTracker_RF*(0.1993, -0.9036, 1.7475) *(1.7613, 7.5843, -3.2958)*(3.3234, 0.0769, 1.3052)*Foot*(3.2258, -0.0019, 1.1652), 665.999
collide*(3.3044, 0.0300, 1.2535)*CollisionTracker_LF*(0.0792, -0.0795, -0.0759) *(-3.9789, -0.6520, 3.4811)*(3.2258, -0.0019, 1.1652)*Foot*(3.3243, 0.0781, 1.3037), 666.0048
collide*(3.2547, 0.0228, 1.4405)*CollisionTracker_LF*(0.4552, -0.1129, 1.5075) *(-1.5172, 0.1239, -8.3520)*(3.2216, 0.0214, 1.5066)*Foot*(3.3401, 0.0024, 1.4133), 666.6982
collide*(3.2720, 0.0097, 1.5062)*CollisionTracker_RF*(-0.0087, -0.0080, -0.0050) *(0.1204, 0.2482, -0.2440)*(3.3396, 0.0014, 1.4151)*Foot*(3.2216, 0.0214, 1.5066), 666.7041
Off course, 666.9534
Back on course, 667.01
Off course, 667.1313
Back on course, 667.2205
